objectid,name,average,avgweight,boardgamecategory,boardgamemechanic
253048,Legends of Signum  Battle for Vallor,6.80645,0,"['Card Game', 'City Building', 'Fantasy', 'Miniatures', 'Wargame']","['Area Majority / Influence', 'Campaign / Battle Card Driven', 'Deck', 'Dice Rolling', 'Hexagon Grid', 'Point to Point Movement']"
8210,Monopoly  The Wizard of Oz,4.65405,2,"['Economic', 'Movies / TV / Radio theme', 'Negotiation', 'Novel-based']","['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Trading']"
2408,Digimon Digital Monsters,5.00968,1,"['Movies / TV / Radio theme', 'Science Fiction', 'Wargame']","['Campaign / Battle Card Driven', 'Role Playing', 'Roll / Spin and Move', 'Set Collection']"
155465,Peasant Buffet,5.35892,1.3333,['Card Game'],"['Player Elimination', 'Push Your Luck', 'Take That']"
129469,Card of the Dead,5.48419,1.1786,"['Card Game', 'Zombies']",['Hand Management']
5886,Die Dracheninsel,5.2812,1.25,"['Adventure', 'Exploration', 'Fantasy']","['Area Movement', 'Cooperative Game', 'Line Drawing', 'Modular Board', 'Pick-up and Deliver']"
154085,How to Human,5.1183,1,"['Animals', 'Card Game', 'Science Fiction']","['Hand Management', 'Simultaneous Action Selection', 'Take That', 'Variable Player Powers']"
535,Power Barons,5.429,2.0417,['Card Game'],['Card Game']
94684,Spontuneous,5.26611,1,"['Music', 'Party Game']","['Memory', 'Singing']"
232351,Master of Orion  Conquest,5.04054,0,"['Card Game', 'Video Game Theme']",['Deck']
39898,Word Pirates!,5.16354,0,"['Childrens Game', 'Dice', 'Pirates', 'Word Game']","['Dice Rolling', 'Enclosure', 'Network and Route Building', 'Set Collection']"
26017,Space Checkers,4.98524,1,['Abstract Strategy'],['Roll / Spin and Move']
175730,Surviving  One month in,5.30059,2,"['Territory Building', 'Zombies']","['Area Majority / Influence', 'Modular Board']"
12296,Senator,5.48027,2.029,"['Ancient', 'Card Game', 'Political']","['Ancient', 'Card Game', 'Political']"
162571,PBL Robots,5.29231,1.6,"['Card Game', 'Science Fiction']","['Card Drafting', 'Dice Rolling']"
170395,BoardGameGeek  The Card Game,5.46113,1.2222,['Card Game'],"['Set Collection', 'Trading']"
5564,Oh What a Mountain!,5.00897,1.6,"['Adventure', 'Childrens Game']",['Roll / Spin and Move']
